,pretrain_score
0,-0.7455785307892941
1,-0.747905533438115
2,-0.7359485256667733
3,-0.7314339411517778
4,-0.7277992636372242
5,-0.7348291986314328
6,-0.743489427456505
7,-0.7402400017293669
8,-0.7426114771668402
9,-0.7350474760632753
10,-0.7475200811195142
11,-0.7497703526178153
12,-0.7458545292041312
13,-0.7462583819090687
14,-0.7523725693469043
15,-0.7567726371625421
16,-0.7526648897526769
17,-0.7476824601092185
18,-0.7447289265582406
19,-0.756262396746008
20,-0.7553582060337252
21,-0.754913575887645
22,-0.7576693674453212
23,-0.7541817121125483
24,-0.7542687871558524
25,-0.7584218529060569
26,-0.7650641329798984
27,-0.7603010768579186
28,-0.7543532816669575
29,-0.7570281816265853
30,-0.7595413124465829
31,-0.761956767922675
32,-0.7599002735693621
33,-0.7644404529213906
34,-0.758463121158012
35,-0.7621890052682864
36,-0.7668627934505717
37,-0.7625832001796701
38,-0.7718796180958554
39,-0.76467260316613
40,-0.7745689264818902
41,-0.7658600470396916
42,-0.7726041161139141
43,-0.7638915464410362
44,-0.769971083871829
45,-0.7684766167369297
46,-0.7687744907357905
47,-0.7725168500435762
48,-0.7692622087873624
49,-0.7679950651686265
